Date,Adj Close
05/22/1962,62.34
05/23/1962,61.11
05/24/1962,60.62
05/25/1962,59.47
05/28/1962,55.5
05/29/1962,58.08
05/31/1962,59.63
06/01/1962,59.38
06/04/1962,57.27
06/05/1962,57.57
06/06/1962,58.39
06/07/1962,58.4
06/08/1962,58.45
06/11/1962,57.82
06/12/1962,56.34
06/13/1962,55.5
06/14/1962,54.33
06/15/1962,55.89
06/18/1962,55.74
06/19/1962,55.54
06/20/1962,54.78
06/21/1962,53.59
06/22/1962,52.68
06/25/1962,52.45
06/26/1962,52.32
06/27/1962,52.6
06/28/1962,54.41
06/29/1962,54.75
07/02/1962,55.86
07/03/1962,56.49
07/05/1962,56.81
07/06/1962,56.17
07/09/1962,56.55
07/10/1962,57.2
07/11/1962,57.73
07/12/1962,58.03
07/13/1962,57.83
07/16/1962,57.83
07/17/1962,56.78
07/18/1962,56.2
07/19/1962,56.42
07/20/1962,56.81
07/23/1962,56.8
07/24/1962,56.36
07/25/1962,56.46
07/26/1962,56.77
07/27/1962,57.2
07/30/1962,57.83
07/31/1962,58.23
08/01/1962,57.75
08/02/1962,57.98
08/03/1962,58.12
08/06/1962,57.75
08/07/1962,57.36
08/08/1962,57.51
08/09/1962,57.57
08/10/1962,57.55
08/13/1962,57.63
08/14/1962,58.25
08/15/1962,58.66
08/16/1962,58.64
08/17/1962,59.01
08/20/1962,59.37
08/21/1962,59.12
08/22/1962,59.78
08/23/1962,59.7
08/24/1962,59.58
08/27/1962,59.55
08/28/1962,58.79
08/29/1962,58.66
08/30/1962,58.68
08/31/1962,59.12
09/04/1962,58.56
09/05/1962,58.12
09/06/1962,58.36
09/07/1962,58.38
09/10/1962,58.45
09/11/1962,58.59
09/12/1962,58.84
09/13/1962,58.7
09/14/1962,58.89
09/17/1962,59.08
09/18/1962,59.03
09/19/1962,58.95
09/20/1962,58.54
09/21/1962,57.69
09/24/1962,56.63
09/25/1962,56.96
09/26/1962,56.15
09/27/1962,55.77
09/28/1962,56.27
10/01/1962,55.49
10/02/1962,56.1
10/03/1962,56.16
10/04/1962,56.7
10/05/1962,57.07
10/08/1962,57.07
10/09/1962,57.2
10/10/1962,57.24
10/11/1962,57.05
10/12/1962,56.95
10/15/1962,57.27
10/16/1962,57.08
10/17/1962,56.89
10/18/1962,56.34
10/19/1962,55.59
10/22/1962,54.96
10/23/1962,53.49
10/24/1962,55.21
10/25/1962,54.69
10/26/1962,54.54
10/29/1962,55.72
10/30/1962,56.54
10/31/1962,56.52
11/01/1962,57.12
11/02/1962,57.75
11/05/1962,58.35
11/07/1962,58.71
11/08/1962,58.32
11/09/1962,58.78
11/12/1962,59.59
11/13/1962,59.46
11/14/1962,60.16
11/15/1962,59.97
11/16/1962,60.16
11/19/1962,59.82
11/20/1962,60.45
11/21/1962,60.81
11/23/1962,61.54
11/26/1962,61.36
11/27/1962,61.73
11/28/1962,62.12
11/29/1962,62.41
11/30/1962,62.26
12/03/1962,61.94
12/04/1962,62.64
12/05/1962,62.39
12/06/1962,62.93
12/07/1962,63.06
12/10/1962,62.27
12/11/1962,62.32
12/12/1962,62.63
12/13/1962,62.42
12/14/1962,62.57
12/17/1962,62.37
12/18/1962,62.07
12/19/1962,62.58
12/20/1962,62.82
12/21/1962,62.64
12/24/1962,62.63
12/26/1962,63.02
12/27/1962,62.93
12/28/1962,62.96
12/31/1962,63.1
01/02/1963,62.69
01/03/1963,63.72
01/04/1963,64.13
01/07/1963,64.12
01/08/1963,64.74
01/09/1963,64.59
01/10/1963,64.71
01/11/1963,64.85
01/14/1963,65.2
01/15/1963,65.11
01/16/1963,64.67
01/17/1963,65.13
01/18/1963,65.18
